12:59:14:696 -> Moving servos (us): 2323
12:59:14:696 -> Moving servos (us): 2323
12:59:14:705 -> 77551,2323,S0=505.73 mA, S1=13.10 mA, S2=39.43 mA, S3=32.97 mA, S4=37.40 mA
12:59:14:710 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:14:721 -> Moving servos (us): 2318
12:59:14:721 -> Moving servos (us): 2318
12:59:14:721 -> Moving servos (us): 2317
12:59:14:726 -> Moving servos (us): 2315
12:59:14:726 -> Moving servos (us): 2315
12:59:14:731 -> Moving servos (us): 2315
12:59:14:731 -> Moving servos (us): 2315
12:59:14:737 -> Moving servos (us): 2314
12:59:14:737 -> Moving servos (us): 2313
12:59:14:737 -> Moving servos (us): 2313
12:59:14:742 -> Moving servos (us): 2312
12:59:14:742 -> Moving servos (us): 2312
12:59:14:748 -> Moving servos (us): 2311
12:59:14:748 -> Moving servos (us): 2310
12:59:14:755 -> Moving servos (us): 2310
12:59:14:755 -> Moving servos (us): 2309
12:59:14:755 -> Moving servos (us): 2309
12:59:14:759 -> Moving servos (us): 2309
12:59:14:759 -> Moving servos (us): 2308
12:59:14:764 -> Moving servos (us): 2307
12:59:14:764 -> Moving servos (us): 2306
12:59:14:764 -> Moving servos (us): 2306
12:59:14:769 -> Moving servos (us): 2306
12:59:14:769 -> Moving servos (us): 2305
12:59:14:775 -> Moving servos (us): 2305
12:59:14:775 -> Moving servos (us): 2304
12:59:14:780 -> Moving servos (us): 2303
12:59:14:780 -> Moving servos (us): 2303
12:59:14:780 -> Moving servos (us): 2303
12:59:14:786 -> Moving servos (us): 2302
12:59:14:786 -> Moving servos (us): 2301
12:59:14:791 -> Moving servos (us): 2301
12:59:14:791 -> Moving servos (us): 2300
12:59:14:791 -> Moving servos (us): 2300
12:59:14:796 -> Moving servos (us): 2300
12:59:14:796 -> Moving servos (us): 2298
12:59:14:802 -> Moving servos (us): 2298
12:59:14:802 -> Moving servos (us): 2298
12:59:14:807 -> Moving servos (us): 2297
12:59:14:807 -> Moving servos (us): 2297
12:59:14:807 -> Moving servos (us): 2296
12:59:14:812 -> Moving servos (us): 2296
12:59:14:812 -> Moving servos (us): 2295
12:59:14:818 -> Moving servos (us): 2294
12:59:14:818 -> Moving servos (us): 2294
12:59:14:825 -> Moving servos (us): 2293
12:59:14:825 -> Moving servos (us): 2293
12:59:14:825 -> Moving servos (us): 2292
12:59:14:829 -> Moving servos (us): 2291
12:59:14:829 -> Moving servos (us): 2291
12:59:14:834 -> Moving servos (us): 2291
12:59:14:834 -> Moving servos (us): 2290
12:59:14:834 -> Moving servos (us): 2289
12:59:14:840 -> Moving servos (us): 2289
12:59:14:840 -> Moving servos (us): 2289
12:59:14:850 -> Moving servos (us): 2288
12:59:14:850 -> Moving servos (us): 2288ving servos (us): 2283
12:59:14:867 -> Moving servos (us): 2283
12:59:14:867 -> Moving servo
12:59:14:857 -> Moving servos (us): 2286
12:59:14:857 -> Moving servos (us): 2286
12:59:14:857 -> Moving servos (us): 2286
12:59:14:857 -> Moving servos (us): 2286
12:59:14:857 -> Moving servos (us): 2285
12:59:14:861 -> Moving servos (us): 2284
12:59:14:861 -> Moving servos (us): 2283
12:59:14:861 -> Mos (us): 2282
12:59:14:875 -> Moving servos (us): 2281
12:59:14:875 -> Moving servos (us): 2281
12:59:14:877 -> Moving servos (us): 2281
12:59:14:877 -> Moving servos (us): 2280
12:59:14:877 -> Moving servos (us): 2280
12:59:14:883 -> Moving servos (us): 2278
12:59:14:883 -> Moving servos (us): 2278
12:59:14:888 -> Moving servos (us): 2278
12:59:14:888 -> Moving servos (us): 2277
12:59:14:894 -> Moving servos (us): 2277
12:59:14:894 -> Moving servos (us): 2276
12:59:14:894 -> Moving servos (us): 2276
12:59:14:899 -> Moving servos (us): 2275
12:59:14:899 -> Moving servos (us): 2275
12:59:14:907 -> Moving servos (us): 2274
12:59:14:907 -> 77754,2274,S0=44.13 mA, S1=36.70 mA, S2=38.45 mA, S3=38.08 mA, S4=42.95 mA
12:59:14:912 -> FSR Live: PB0=0.00, PA7=0.00, PA6=23.00, PA5=0.00, PA4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:14:922 -> Moving servos (us): 2269
12:59:14:922 -> Moving servos (us): 2269
12:59:14:929 -> Moving servos (us): 2269
12:59:14:929 -> Moving servos (us): 2267
12:59:14:933 -> Moving servos (us): 2267
12:59:14:933 -> Moving servos (us): 2267
12:59:14:933 -> Moving servos (us): 2266
12:59:14:939 -> Moving servos (us): 2266
12:59:14:939 -> Moving servos (us): 2265
12:59:14:944 -> Moving servos (us): 2264
12:59:14:944 -> Moving servos (us): 2264
12:59:14:944 -> Moving servos (us): 2263
12:59:14:950 -> Moving servos (us): 2263
