12:44:02:921 -> Moving servos (us): 2294
12:44:02:921 -> Moving servos (us): 2294
12:44:02:927 -> Moving servos (us): 2293
12:44:02:927 -> Moving servos (us): 2293
12:44:02:933 -> Moving servos (us): 2293
12:44:02:933 -> 123186,2293,S0=-0.03 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=0.00 mA
12:44:02:939 -> Moving servos (us): 2290
12:44:02:944 -> Moving servos (us): 2290
12:44:02:944 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=1.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:02:955 -> Moving servos (us): 2287
12:44:02:955 -> Moving servos (us): 2286
12:44:02:962 -> Moving servos (us): 2286
12:44:02:962 -> Moving servos (us): 2285
12:44:02:966 -> Moving servos (us): 2285
12:44:02:966 -> Moving servos (us): 2284
12:44:02:966 -> Moving servos (us): 2283
12:44:02:971 -> Moving servos (us): 2283
12:44:02:971 -> Moving servos (us): 2282
12:44:02:976 -> Moving servos (us): 2282
12:44:02:976 -> Moving servos (us): 2281
12:44:02:976 -> Moving servos (us): 2281
12:44:02:982 -> Moving servos (us): 2280
12:44:02:982 -> Moving servos (us): 2280
12:44:02:987 -> Moving servos (us): 2279
12:44:02:987 -> Moving servos (us): 2278
12:44:02:993 -> Moving servos (us): 2278
12:44:02:993 -> Moving servos (us): 2278
12:44:02:993 -> Moving servos (us): 2277
12:44:02:998 -> Moving servos (us): 2277
12:44:02:998 -> Moving servos (us): 2276
12:44:03:004 -> Moving servos (us): 2275
12:44:03:004 -> Moving servos (us): 2275
12:44:03:004 -> Moving servos (us): 2274
12:44:03:009 -> Moving servos (us): 2274
12:44:03:009 -> Moving servos (us): 2273
12:44:03:014 -> Moving servos (us): 2273
12:44:03:014 -> Moving servos (us): 2273
12:44:03:020 -> Moving servos (us): 2272
12:44:03:020 -> Moving servos (us): 2271
12:44:03:020 -> Moving servos (us): 2271
12:44:03:025 -> Moving servos (us): 2270
12:44:03:025 -> Moving servos (us): 2270
12:44:03:032 -> Moving servos (us): 2269
12:44:03:032 -> Moving servos (us): 2269
12:44:03:036 -> Moving servos (us): 2267
12:44:03:036 -> Moving servos (us): 2267
12:44:03:036 -> Moving servos (us): 2267
12:44:03:041 -> Moving servos (us): 2267
12:44:03:041 -> Moving servos (us): 2266
12:44:03:047 -> Moving servos (us): 2265
12:44:03:047 -> Moving servos (us): 2265
12:44:03:047 -> Moving servos (us): 2264
12:44:03:052 -> Moving servos (us): 2264
12:44:03:052 -> Moving servos (us): 2263
12:44:03:057 -> Moving servos (us): 2262
12:44:03:057 -> Moving servos (us): 2262
12:44:03:063 -> Moving servos (us): 2261
12:44:03:063 -> Moving servos (us): 2261
12:44:03:063 -> Moving servos (us): 2261
12:44:03:068 -> Moving servos (us): 2260
12:44:03:068 -> Moving servos (us): 2259
12:44:03:074 -> Moving servos (us): 2258
12:44:03:074 -> Moving servos (us): 2258
12:44:03:074 -> Moving servos (us): 2258
12:44:03:079 -> Moving servos (us): 2257
12:44:03:079 -> Moving servos (us): 2257
12:44:03:084 -> Moving servos (us): 2256
12:44:03:084 -> Moving servos (us): 2255
12:44:03:090 -> Moving servos (us): 2255
12:44:03:090 -> Moving servos (us): 2255
12:44:03:090 -> Moving servos (us): 2254
12:44:03:097 -> Moving servos (us): 2253
12:44:03:097 -> Moving servos (us): 2253
12:44:03:102 -> Moving servos (us): 2253
12:44:03:102 -> Moving servos (us): 2252
12:44:03:106 -> Moving servos (us): 2251
12:44:03:106 -> Moving servos (us): 2251
12:44:03:106 -> Moving servos (us): 2250
12:44:03:112 -> Moving servos (us): 2250
12:44:03:112 -> Moving servos (us): 2249
12:44:03:117 -> Moving servos (us): 2249
12:44:03:117 -> Moving servos (us): 2248
12:44:03:117 -> Moving servos (us): 2248
12:44:03:123 -> Moving servos (us): 2246
12:44:03:123 -> Moving servos (us): 2246
12:44:03:128 -> Moving servos (us): 2246
12:44:03:128 -> Moving servos (us): 2246
12:44:03:133 -> Moving servos (us): 2245
12:44:03:139 -> 123388,2245,S0=-0.03 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=-0.03 mA
12:44:03:146 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:03:150 -> Moving servos (us): 2240
12:44:03:155 -> Moving servos (us): 2240
12:44:03:155 -> Moving servos (us): 2239
12:44:03:160 -> Moving servos (us): 2238
12:44:03:160 -> Moving servos (us): 2237
12:44:03:160 -> Moving servos (us): 2237
12:44:03:166 -> Moving servos (us): 2237
12:44:03:166 -> Moving servos (us): 2236
12:44:03:171 -> Moving servos (us): 2235
12:44:03:171 -> Moving servos (us): 2235
12:44:03:176 -> Moving servos (us): 2234
12:44:03:176 -> Moving servos (us): 2234
12:44:03:176 -> Moving servos (us): 2234
12:44:03:182 -> Moving servos (us): 2232
12:44:03:182 -> Moving servos (us): 2232
12:44:03:187 -> Moving servos (us): 2232
12:44:03:187 -> Moving servos (us): 2232
12:44:03:187 -> Moving servos (us): 2231
12:44:03:193 -> Moving servos (us): 2230
12:44:03:193 -> Moving servos (us): 2229
12:44:03:198 -> Moving servos (us): 2229
12:44:03:198 -> Moving servos (us): 2229
12:44:03:204 -> Moving servos (us): 2228
12:44:03:204 -> Moving servos (us): 2227
12:44:03:204 -> Moving servos (us): 2227
12:44:03:209 -> Moving servos (us): 2227
12:44:03:209 -> Moving servos (us): 2226
