FSR Live: PB0=270.24, PA7=0.06, PA6=126.15, PA5=218.27, PA4=257.05, PA3=274.44, PA2=284.44, PA1=287.21, PA0=337.00
FSR Live: PB0=269.75, PA7=0.10, PA6=126.15, PA5=217.94, PA4=256.79, PA3=274.11, PA2=284.54, PA1=287.98, PA0=336.60
FSR Live: PB0=270.08, PA7=0.04, PA6=126.01, PA5=217.60, PA4=256.20, PA3=273.71, PA2=284.15, PA1=287.88, PA0=336.77
FSR Live: PB0=270.31, PA7=0.24, PA6=125.85, PA5=217.39, PA4=256.29, PA3=273.85, PA2=284.04, PA1=287.30, PA0=337.06
FSR Live: PB0=269.44, PA7=0.79, PA6=126.59, PA5=216.13, PA4=255.60, PA3=274.60, PA2=284.70, PA1=286.91, PA0=335.89
FSR Live: PB0=270.01, PA7=0.70, PA6=126.71, PA5=216.13, PA4=255.65, PA3=274.56, PA2=284.75, PA1=287.36, PA0=336.73
FSR Live: PB0=269.89, PA7=0.03, PA6=126.00, PA5=217.68, PA4=256.40, PA3=273.85, PA2=283.99, PA1=287.21, PA0=336.48
FSR Live: PB0=270.36, PA7=0.10, PA6=126.12, PA5=217.85, PA4=256.29, PA3=273.70, PA2=284.14, PA1=287.42, PA0=337.04
FSR Live: PB0=270.24, PA7=0.14, PA6=126.21, PA5=218.11, PA4=256.63, PA3=273.85, PA2=284.05, PA1=286.88, PA0=336.73
FSR Live: PB0=269.38, PA7=0.60, PA6=126.45, PA5=216.39, PA4=255.64, PA3=274.19, PA2=284.56, PA1=286.96, PA0=335.79
FSR Live: PB0=270.02, PA7=0.41, PA6=126.82, PA5=216.73, PA4=256.20, PA3=274.92, PA2=284.79, PA1=287.19, PA0=336.41
FSR Live: PB0=269.66, PA7=0.75, PA6=126.87, PA5=216.94, PA4=256.21, PA3=274.52, PA2=284.56, PA1=287.27, PA0=336.34
FSR Live: PB0=269.15, PA7=0.76, PA6=126.59, PA5=216.36, PA4=255.74, PA3=274.15, PA2=284.58, PA1=287.20, PA0=335.55
FSR Live: PB0=270.39, PA7=0.64, PA6=126.55, PA5=216.10, PA4=255.52, PA3=274.38, PA2=284.75, PA1=287.80, PA0=337.05
FSR Live: PB0=269.76, PA7=0.70, PA6=126.77, PA5=216.76, PA4=256.01, PA3=274.01, PA2=284.30, PA1=287.24, PA0=336.30
FSR Live: PB0=269.79, PA7=0.80, PA6=126.72, PA5=216.27, PA4=255.98, PA3=274.75, PA2=284.64, PA1=287.20, PA0=335.94
FSR Live: PB0=270.02, PA7=0.81, PA6=126.72, PA5=216.33, PA4=256.00, PA3=274.81, PA2=284.41, PA1=286.67, PA0=336.39
FSR Live: PB0=270.25, PA7=0.55, PA6=126.61, PA5=216.23, PA4=255.80, PA3=274.40, PA2=283.98, PA1=286.50, PA0=336.80
FSR Live: PB0=270.69, PA7=0.57, PA6=126.81, PA5=216.93, PA4=255.98, PA3=274.13, PA2=284.65, PA1=287.83, PA0=337.10
FSR Live: PB0=270.35, PA7=0.68, PA6=126.74, PA5=216.40, PA4=256.20, PA3=275.15, PA2=285.04, PA1=287.26, PA0=336.65
FSR Live: PB0=269.69, PA7=0.75, PA6=126.46, PA5=216.16, PA4=255.66, PA3=274.20, PA2=284.41, PA1=287.06, PA0=336.29
FSR Live: PB0=270.17, PA7=0.61, PA6=126.80, PA5=216.65, PA4=256.16, PA3=275.16, PA2=284.76, PA1=286.77, PA0=336.50
FSR Live: PB0=270.70, PA7=0.57, PA6=126.64, PA5=216.25, PA4=256.09, PA3=274.99, PA2=284.65, PA1=287.04, PA0=337.10
