18:02:57:480 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:480 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:480 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:480 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:480 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:481 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:482 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:482 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:482 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:482 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:482 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
18:02:57:482 -> A3=12.13, PA2=0.01, PA1=0.01, PA0=0.03
