10:19:14:315 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:315 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:315 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:315 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:315 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:315 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:315 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:315 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:316 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:317 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:318 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:319 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:320 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:320 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:321 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:321 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:321 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
10:19:14:324 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
