14:33:45:362 -> Moving servos (us): 2323
14:33:45:362 -> Moving servos (us): 2322
14:33:45:367 -> Moving servos (us): 2322
14:33:45:367 -> Moving servos (us): 2320
14:33:45:367 -> Moving servos (us): 2320
14:33:45:370 -> Moving servos (us): 2320
14:33:45:370 -> Moving servos (us): 2319
14:33:45:376 -> Moving servos (us): 2319
14:33:45:376 -> Moving servos (us): 2318
14:33:45:385 -> Moving servos (us): 2318
14:33:45:385 -> Moving servos (us): 2316
14:33:45:385 -> Moving servos (us): 2316
14:33:45:388 -> Moving servos (us): 2316
14:33:45:388 -> Moving servos (us): 2316
14:33:45:393 -> Moving servos (us): 2315
14:33:45:393 -> Moving servos (us): 2314
14:33:45:397 -> Moving servos (us): 2314
14:33:45:397 -> Moving servos (us): 2313
14:33:45:397 -> Moving servos (us): 2313
14:33:45:403 -> Moving servos (us): 2312
14:33:45:403 -> Moving servos (us): 2311
14:33:45:408 -> Moving servos (us): 2311
14:33:45:408 -> Moving servos (us): 2311
14:33:45:408 -> Moving servos (us): 2310
14:33:45:414 -> Moving servos (us): 2310
14:33:45:414 -> Moving servos (us): 2309
14:33:45:419 -> Moving servos (us): 2308
14:33:45:419 -> Moving servos (us): 2308
14:33:45:424 -> Moving servos (us): 2307
14:33:45:424 -> Moving servos (us): 2307
14:33:45:424 -> Moving servos (us): 2306
14:33:45:430 -> Moving servos (us): 2306
14:33:45:430 -> Moving servos (us): 2306
14:33:45:435 -> Moving servos (us): 2305
14:33:45:435 -> Moving servos (us): 2304
14:33:45:435 -> Moving servos (us): 2303
14:33:45:440 -> Moving servos (us): 2303
14:33:45:440 -> Moving servos (us): 2303
14:33:45:446 -> Moving servos (us): 2302
14:33:45:446 -> Moving servos (us): 2302
14:33:45:452 -> Moving servos (us): 2301
14:33:45:452 -> Moving servos (us): 2300
14:33:45:452 -> Moving servos (us): 2299
14:33:45:457 -> Moving servos (us): 2299
14:33:45:457 -> Moving servos (us): 2299
14:33:45:463 -> 27790,2299,S0=59.08 mA, S1=41.28 mA, S2=9.75 mA, S3=89.25 mA, S4=37.05 mA
14:33:45:470 -> FSR Live: PB0=0.00, PA7=0.00, PA6=0.00, PA5=0.00, PA4=0.00, PA3=0.00, PA2=0.00, PA1=0.00, PA0=0.00
14:33:45:474 -> Moving servos (us): 2295
14:33:45:480 -> Moving servos (us): 2294
14:33:45:480 -> Moving servos (us): 2294
14:33:45:485 -> Moving servos (us): 2292
14:33:45:485 -> Moving servos (us): 2292
14:33:45:491 -> Moving servos (us): 2292
14:33:45:491 -> Moving servos (us): 2291
14:33:45:491 -> Moving servos (us): 2291
14:33:45:496 -> Moving servos (us): 2290
14:33:45:496 -> Moving servos (us): 2289
14:33:45:501 -> Moving servos (us): 2289
14:33:45:501 -> Moving servos (us): 2289
14:33:45:507 -> Moving servos (us): 2288
14:33:45:507 -> Moving servos (us): 2287
14:33:45:507 -> Moving servos (us): 2287
14:33:45:512 -> Moving servos (us): 2286
14:33:45:512 -> Moving servos (us): 2286
14:33:45:518 -> Moving servos (us): 2286
14:33:45:518 -> Moving servos (us): 2284
14:33:45:518 -> Moving servos (us): 2284
14:33:45:523 -> Moving servos (us): 2283
14:33:45:523 -> Moving servos (us): 2283
14:33:45:528 -> Moving servos (us): 2283
14:33:45:528 -> Moving servos (us): 2282
14:33:45:534 -> Moving servos (us): 2281
14:33:45:534 -> Moving servos (us): 2281
14:33:45:534 -> Moving servos (us): 2281
14:33:45:539 -> Moving servos (us): 2280
14:33:45:539 -> Moving servos (us): 2279
14:33:45:545 -> Moving servos (us): 2279
14:33:45:545 -> Moving servos (us): 2278
14:33:45:545 -> Moving servos (us): 2277
14:33:45:550 -> Moving servos (us): 2277
14:33:45:550 -> Moving servos (us): 2277
14:33:45:555 -> Moving servos (us): 2276
14:33:45:555 -> Moving servos (us): 2275
14:33:45:561 -> Moving servos (us): 2275
14:33:45:561 -> Moving servos (us): 2275
14:33:45:561 -> Moving servos (us): 2274
14:33:45:567 -> Moving servos (us): 2274
14:33:45:567 -> Moving servos (us): 2272
14:33:45:571 -> Moving servos (us): 2272
14:33:45:571 -> Moving servos (us): 2272
14:33:45:577 -> Moving servos (us): 2271
14:33:45:577 -> Moving servos (us): 2271
14:33:45:577 -> Moving servos (us): 2270
14:33:45:582 -> Moving servos (us): 2270
14:33:45:582 -> Moving servos (us): 2268
14:33:45:588 -> Moving servos (us): 2268
14:33:45:588 -> Moving servos (us): 2268
14:33:45:588 -> Moving servos (us): 2268
14:33:45:593 -> Moving servos (us): 2267
14:33:45:593 -> Moving servos (us): 2266
14:33:45:599 -> Moving servos (us): 2266
14:33:45:599 -> Moving servos (us): 2265
14:33:45:604 -> Moving servos (us): 2265
14:33:45:604 -> Moving servos (us): 2264
14:33:45:604 -> Moving servos (us): 2263
14:33:45:609 -> Moving servos (us): 2263
14:33:45:609 -> Moving servos (us): 2263
14:33:45:615 -> Moving servos (us): 2262
14:33:45:615 -> Moving servos (us): 2262
14:33:45:615 -> Moving servos (us): 2261
14:33:45:620 -> Moving servos (us): 2261
14:33:45:620 -> Moving servos (us): 2260
14:33:45:625 -> Moving servos (us): 2259
14:33:45:625 -> Moving servos (us): 2259
14:33:45:631 -> Moving servos (us): 2258
14:33:45:631 -> Moving servos (us): 2258
14:33:45:631 -> Moving servos (us): 2257
14:33:45:636 -> Moving servos (us): 2257
14:33:45:636 -> Moving servos (us): 2256
14:33:45:642 -> Moving servos (us): 2255
14:33:45:642 -> Moving servos (us): 2255
14:33:45:651 -> Moving servos (us): 2254
14:33:45:651 -> Moving servos (us): 2254
14:33:45:651 -> Moving servos (us): 2253
14:33:45:652 -> Moving servos (us): 2253
14:33:45:652 -> Moving servos (us): 2253
14:33:45:658 -> Moving servos (us): 2251
14:33:45:658 -> Moving servos (us): 2251
14:33:45:658 -> 27989,2251,S0=167.45 mA, S1=41.38 mA, S2=48.58 mA, S3=43.28 mA, S4=40.28 mA
14:33:45:669 -> FSR Live: PB0=0.00, PA7=0.00, PA6=0.00, PA5=0.00, PA4=0.00, PA3=0.00, PA2=0.00, PA1=0.00, PA0=0.00
14:33:45:675 -> Moving servos (us): 2247
14:33:45:680 -> Moving servos (us): 2247
14:33:45:680 -> Moving servos (us): 2246
14:33:45:686 -> Moving servos (us): 2246
14:33:45:686 -> Moving servos (us): 2244
14:33:45:686 -> Moving servos (us): 2244
14:33:45:691 -> Moving servos (us): 2243
14:33:45:691 -> Moving servos (us): 2243
14:33:45:696 -> Moving servos (us): 2243
14:33:45:696 -> Moving servos (us): 2242
14:33:45:702 -> Moving servos (us): 2242
14:33:45:702 -> Moving servos (us): 2241
14:33:45:702 -> Moving servos (us): 2241
14:33:45:707 -> Moving servos (us): 2240
14:33:45:707 -> Moving servos (us): 2239
14:33:45:712 -> Moving servos (us): 2239
14:33:45:712 -> Moving servos (us): 2238
14:33:45:712 -> Moving servos (us): 2238
14:33:45:718 -> Moving servos (us): 2238
14:33:45:718 -> Moving servos (us): 2237
14:33:45:723 -> Moving servos (us): 2236
14:33:45:723 -> Moving servos (us): 2235
14:33:45:729 -> Moving servos (us): 2235
14:33:45:729 -> Moving servos (us): 2235
14:33:45:729 -> Moving servos (us): 2234
14:33:45:734 -> Moving servos (us): 2234
14:33:45:734 -> Moving servos (us): 2233
14:33:45:740 -> Moving servos (us): 2232
14:33:45:740 -> Moving servos (us): 2232
14:33:45:740 -> Moving servos (us): 2231
14:33:45:745 -> Moving servos (us): 2231
14:33:45:745 -> Moving servos (us): 2230
14:33:45:754 -> Moving servos (us): 2230
14:33:45:754 -> Moving servos (us): 2229
14:33:45:756 -> Moving servos (us): 2229
14:33:45:756 -> Moving servos (us): 2229
14:33:45:756 -> Moving servos (us): 2227
14:33:45:761 -> Moving servos (us): 2227
14:33:45:761 -> Moving servos (us): 2226
14:33:45:766 -> Moving servos (us): 2226
14:33:45:766 -> Moving servos (us): 2225
14:33:45:772 -> Moving servos (us): 2225
14:33:45:772 -> Moving servos (us): 2224
14:33:45:772 -> Moving servos (us): 2223
14:33:45:777 -> Moving servos (us): 2223
14:33:45:777 -> Moving servos (us): 2223
14:33:45:783 -> Moving servos (us): 2223
14:33:45:783 -> Moving servos (us): 2222
14:33:45:783 -> Moving servos (us): 2221
14:33:45:788 -> Moving servos (us): 2220
14:33:45:788 -> Moving servos (us): 2220
14:33:45:793 -> Moving servos (us): 2219
14:33:45:793 -> Moving servos (us): 2219
14:33:45:799 -> Moving servos (us): 2218
14:33:45:799 -> Moving servos (us): 2218
14:33:45:799 -> Moving servos (us): 2218
14:33:45:804 -> Moving servos (us): 2217
14:33:45:804 -> Moving servos (us): 2216
14:33:45:810 -> Moving servos (us): 2215
14:33:45:810 -> Moving servos (us): 2215
14:33:45:810 -> Moving servos (us): 2214
14:33:45:815 -> Moving servos (us): 2214
14:33:45:815 -> Moving servos (us): 2214
14:33:45:820 -> Moving servos (us): 2213
14:33:45:820 -> Moving servos (us): 2213
14:33:45:826 -> Moving servos (us): 2211
14:33:45:826 -> Moving servos (us): 2211
14:33:45:826 -> Moving servos (us): 2211
14:33:45:831 -> Moving servos (us): 2210
14:33:45:831 -> Moving servos (us): 2210
14:33:45:837 -> Moving servos (us): 2209
14:33:45:837 -> Moving servos (us): 2208
14:33:45:842 -> Moving servos (us): 2208
14:33:45:842 -> Moving servos (us): 2208
14:33:45:842 -> Moving servos (us): 2207
14:33:45:848 -> Moving servos (us): 2206
14:33:45:848 -> Moving servos (us): 2206
14:33:45:853 -> Moving servos (us): 2205
14:33:45:853 -> Moving servos (us): 2205
14:33:45:853 -> Moving servos (us): 2205
14:33:45:858 -> Moving servos (us): 2203
14:33:45:858 -> Moving servos (us): 2203
14:33:45:864 -> 28189,2203,S0=217.52 mA, S1=37.18 mA, S2=44.38 mA, S3=35.65 mA, S4=51.78 mA
14:33:45:869 -> FSR Live: PB0=0.00, PA7=0.00, PA6=0.00, PA5=0.00, PA4=0.00, PA3=0.00, PA2=0.00, PA1=0.00, PA0=1.00
14:33:45:880 -> Moving servos (us): 2199
14:33:45:880 -> Moving servos (us): 2199
14:33:45:880 -> Moving servos (us): 2198
14:33:45:886 -> Moving servos (us): 2198
14:33:45:886 -> Moving servos (us): 2197
14:33:45:891 -> Moving servos (us): 2196
14:33:45:891 -> Moving servos (us): 2196
14:33:45:891 -> Moving servos (us): 2196
14:33:45:896 -> Moving servos (us): 2195
14:33:45:896 -> Moving servos (us): 2194
14:33:45:902 -> Moving servos (us): 2194
14:33:45:902 -> Moving servos (us): 2193
14:33:45:907 -> Moving servos (us): 2193
14:33:45:907 -> Moving servos (us): 2193
14:33:45:907 -> Moving servos (us): 2191
14:33:45:912 -> Moving servos (us): 2191
14:33:45:912 -> Moving servos (us): 2190
14:33:45:918 -> Moving servos (us): 2190
14:33:45:918 -> Moving servos (us): 2189
14:33:45:923 -> Moving servos (us): 2189
14:33:45:923 -> Moving servos (us): 2188
14:33:45:923 -> Moving servos (us): 2188
14:33:45:932 -> Moving servos (us): 2187
14:33:45:932 -> Moving servos (us): 2186
14:33:45:934 -> Moving servos (us): 2186
14:33:45:934 -> Moving servos (us): 2186
14:33:45:934 -> Moving servos (us): 2185
14:33:45:940 -> Moving servos (us): 2185
14:33:45:940 -> Moving servos (us): 2183
14:33:45:945 -> Moving servos (us): 2183
14:33:45:945 -> Moving servos (us): 2183
14:33:45:950 -> Moving servos (us): 2183
14:33:45:950 -> Moving servos (us): 2182
14:33:45:950 -> Moving servos (us): 2181
14:33:45:957 -> Moving servos (us): 2181
14:33:45:957 -> Moving servos (us): 2180
14:33:45:961 -> Moving servos (us): 2180
14:33:45:961 -> Moving servos (us): 2180
14:33:45:961 -> Moving servos (us): 2178
14:33:45:967 -> Moving servos (us): 2178
14:33:45:967 -> Moving servos (us): 2178
14:33:45:972 -> Moving servos (us): 2177
14:33:45:972 -> Moving servos (us): 2177
14:33:45:977 -> Moving servos (us): 2176
14:33:45:977 -> Moving servos (us): 2175
14:33:45:977 -> Moving servos (us): 2175
14:33:45:983 -> Moving servos (us): 2175
14:33:45:983 -> Moving servos (us): 2174
14:33:45:988 -> Moving servos (us): 2173
14:33:45:988 -> Moving servos (us): 2173
14:33:45:993 -> Moving servos (us): 2172
14:33:45:993 -> Moving servos (us): 2172
14:33:45:993 -> Moving servos (us): 2172
14:33:45:999 -> Moving servos (us): 2170
14:33:45:999 -> Moving servos (us): 2170
14:33:46:004 -> Moving servos (us): 2169
14:33:46:004 -> Moving servos (us): 2169
14:33:46:004 -> Moving servos (us): 2168
14:33:46:010 -> Moving servos (us): 2168
14:33:46:010 -> Moving servos (us): 2167
14:33:46:015 -> Moving servos (us): 2166
14:33:46:015 -> Moving servos (us): 2166
14:33:46:021 -> Moving servos (us): 2166
14:33:46:021 -> Moving servos (us): 2166
14:33:46:021 -> Moving servos (us): 2165
14:33:46:026 -> Moving servos (us): 2164
14:33:46:026 -> Moving servos (us): 2163
14:33:46:032 -> Moving servos (us): 2163
14:33:46:032 -> Moving servos (us): 2163
14:33:46:032 -> Moving servos (us): 2162
14:33:46:037 -> Moving servos (us): 2161
14:33:46:037 -> Moving servos (us): 2161
14:33:46:042 -> Moving servos (us): 2161
14:33:46:042 -> Moving servos (us): 2160
14:33:46:048 -> Moving servos (us): 2159
14:33:46:048 -> Moving servos (us): 2158
14:33:46:048 -> Moving servos (us): 2158
14:33:46:053 -> Moving servos (us): 2158
14:33:46:053 -> Moving servos (us): 2157
14:33:46:058 -> Moving servos (us): 2157
14:33:46:058 -> Moving servos (us): 2156
14:33:46:063 -> Moving servos (us): 2156
14:33:46:069 -> 28395,2156,S0=38.45 mA, S1=37.30 mA, S2=89.47 mA, S3=44.93 mA, S4=463.98 mA
14:33:46:075 -> FSR Live: PB0=0.00, PA7=0.00, PA6=0.00, PA5=0.00, PA4=0.00, PA3=0.00, PA2=0.00, PA1=0.00, PA0=0.00
14:33:46:080 -> Moving servos (us): 2151
14:33:46:085 -> Moving servos (us): 2150
14:33:46:085 -> Moving servos (us): 2150
